"","data$description"
"516","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"517","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"518","Beim Besuch eines Kinos in Ulm wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Kino-Richtlinien, und baten mich, das Gelände zu verlassen."
"519","Bei einem Abendessen im Restaurant in Leipzig wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"520","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"521","Beim Besuch einer Ausstellung in Magdeburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"522","Bei der Teilnahme an einer kulturellen Veranstaltung in Erfurt wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"523","Beim Besuch einer Ausstellung in Magdeburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"524","Bei einem Zahnarztbesuch in Lübeck wurde ich Opfer von Diskriminierung, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"525","Beim Besuch einer Ausstellung in Freiburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"526","Bei einem Abendessen im Restaurant in Augsburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"527","Bei der Teilnahme an einer kulturellen Veranstaltung in Erfurt wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"528","Bei einem Besuch im Museum in Trier wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"529","Bei einem Zahnarztbesuch in Lübeck wurde ich Opfer von Diskriminierung, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"530","Bei einem Arztbesuch in Frankfurt wurde ich aufgrund meiner Religion diskriminiert. Das medizinische Personal machte abfällige Bemerkungen über meinen Glauben und verweigerte mir eine angemessene medizinische Behandlung."
"531","Bei einem Bibliotheksbesuch in Magdeburg wurde ich Opfer von Diskriminierung, als der Bibliothekar mir den Zugang wegen meines Hijabs verweigerte. Er behauptete, meine Kleidung verstoße gegen die Regeln der Bibliothek, und bat mich, das Gelände zu verlassen."
"532","Bei einem Besuch in einer Diskothek in Ludwigshafen wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Clubpolitik, und baten mich, das Lokal zu verlassen."
"533","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"534","Bei einem Friseurbesuch in Wiesbaden wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meines muslimischen Glaubens zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"535","Bei einem Besuch im Zoo in Osnabrück wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"536","Bei der Bewerbung um eine Stelle in Bochum wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"537","Bei der Bewerbung um ein Austauschprogramm in Potsdam wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"538","Bei einem Museumsbesuch in Hannover wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen und forderten mich auf, das Gelände zu verlassen."
"539","Bei der Teilnahme an einer politischen Versammlung in Hagen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"540","Bei einem Zoobesuch in Braunschweig wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"541","Bei einer Konferenz in Freiburg wurde ich diskriminiert, als einige Referenten mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"542","Bei der Bewerbung um eine Stelle in Göttingen wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"543","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"544","Während eines Vorstellungsgesprächs in Hamburg wurde ich aufgrund meines muslimischen Nachnamens diskriminiert. Der Personalvermittler machte abfällige Bemerkungen über meine Religion und weigerte sich, meine Bewerbung ernsthaft zu prüfen."
"545","Bei der Bewerbung um einen Studienplatz in Dortmund wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"546","Bei einem Besuch im Museum in Trier wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"547","Während eines Vorstellungsgesprächs in Hamburg wurde ich aufgrund meines muslimischen Nachnamens diskriminiert. Der Personalvermittler machte abfällige Bemerkungen über meine Religion und weigerte sich, meine Bewerbung ernsthaft zu prüfen."
"548","Bei der Teilnahme an einer politischen Versammlung in Mönchengladbach wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"549","Beim Besuch eines Konzerts in Oberhausen wurde ich diskriminiert, als Sicherheitskräfte mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich vom Konzert ausgeschlossen."
"550","Bei einem Abendessen im Restaurant in Leipzig wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"551","Bei einem Einkaufsbummel in Regensburg wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"552","Beim Besuch eines Kinos in Ulm wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Kino-Richtlinien, und baten mich, das Gelände zu verlassen."
"553","Bei einem Zoobesuch in Braunschweig wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"554","Bei der Teilnahme an einer Konferenz in Paderborn wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"555","Bei einem Besuch beim Zahnarzt in Bielefeld wurde ich diskriminiert, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"556","Bei der Teilnahme an einer politischen Versammlung in Recklinghausen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"557","Bei einer diplomatischen Empfang in Saarbrücken wurde ich diskriminiert, als einige Gäste mich aus der Gruppe ausschlossen, weil ich Muslima bin. Trotz meiner Bemühungen, Kontakte zu knüpfen, wurde ich abgelehnt und ausgegrenzt."
"558","Bei einem Besuch in einem Café in Siegen wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"559","Bei einem Besuch im Museum in Trier wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"560","Beim Besuch einer Ausstellung in Bonn wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"561","Beim Besuch eines Konzerts in Oberhausen wurde ich diskriminiert, als Sicherheitskräfte mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich vom Konzert ausgeschlossen."
"562","Bei einem Besuch in einem Café in Duisburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"563","Bei einem Museumsbesuch in Hannover wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen und forderten mich auf, das Gelände zu verlassen."
"564","Bei einer kulturellen Veranstaltung in Essen wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"565","Bei einem Besuch im Schwimmbad in Hanau wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Schwimmbads, und baten mich, das Gelände zu verlassen."
"566","Bei einem Besuch einer Ausstellung in Darmstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"567","Bei einem Theaterbesuch in Duisburg wurde ich Opfer von Diskriminierung, als andere Zuschauer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"568","Bei der Bewerbung um ein Mentorenprogramm in Bremerhaven wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"569","Bei der Teilnahme an einer Konferenz in Paderborn wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"570","Bei der Teilnahme an einer kulturellen Veranstaltung in Wolfsburg wurde ich diskriminiert, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"571","Beim Einkaufen in Chemnitz wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"572","Bei einem Besuch im Zoo in Osnabrück wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"573","Bei einem Besuch beim Friseur in Mannheim wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meiner Religion zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"574","Bei der Bewerbung um ein Austauschprogramm in Wiesbaden wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"575","Bei der Bewerbung um eine Stelle in Bonn wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"576","Bei einem Abendessen im Restaurant in Leipzig wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"577","Bei der Teilnahme an einer kulturellen Veranstaltung in Erfurt wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"578","Bei der Teilnahme an einer kulturellen Veranstaltung in Erfurt wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"579","Bei der Teilnahme an einer politischen Versammlung in Recklinghausen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"580","Bei der Teilnahme an einer kulturellen Veranstaltung in Wolfsburg wurde ich diskriminiert, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"581","Bei der Bewerbung um eine Stelle in Dresde wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"582","Bei einem Schulausflug nach Bremen wurde ich Opfer von Diskriminierung, als meine Klassenkameraden mich aufgrund meiner Religion ausschlossen. Trotz meiner Versuche, an den Aktivitäten teilzunehmen, wurde ich isoliert und marginalisiert."
"583","Bei einer Konferenz in Freiburg wurde ich diskriminiert, als einige Referenten mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"584","Bei einer kulturellen Veranstaltung in Essen wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"585","Bei der Teilnahme an einer kulturellen Veranstaltung in Wolfsburg wurde ich diskriminiert, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"586","Bei einem Zoobesuch in Krefeld wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"587","Bei der Bewerbung um ein Austauschprogramm in Essen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"588","Bei der Bewerbung um ein Austauschprogramm in Potsdam wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"589","Bei der Bewerbung um ein Austauschprogramm in Wiesbaden wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"590","Bei einem Zoobesuch in Münster wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"591","Beim Besuch eines Cafés in Nürnberg wurde ich Opfer von Diskriminierung, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Sicherheitsrichtlinien, und baten mich, das Lokal zu verlassen."
"592","Bei einem Besuch im Museum in Trier wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"593","Bei einem Abendessen im Restaurant in Würzburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"594","Bei der Bewerbung um eine Wohnung in Dortmund wurde ich diskriminiert. Der Vermieter weigerte sich, mir die Wohnung zu vermieten, weil mein muslimischer Nachname angeblich gegen ihn sprach, trotz meiner guten Referenzen und meiner Zahlungshistorie."
"595","Bei der Bewerbung um eine Stelle in Nuremberg wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"596","Bei der Bewerbung um einen Studienplatz in Dortmund wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"597","Bei einem Besuch im Museum in Trier wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"598","Bei einem Besuch beim Zahnarzt in Bielefeld wurde ich diskriminiert, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"599","Bei einem Bibliotheksbesuch in Magdeburg wurde ich Opfer von Diskriminierung, als der Bibliothekar mir den Zugang wegen meines Hijabs verweigerte. Er behauptete, meine Kleidung verstoße gegen die Regeln der Bibliothek, und bat mich, das Gelände zu verlassen."
"600","Bei einem Abendessen im Restaurant in Oldenburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"601","Bei der Bewerbung um eine Stelle in Dresden wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlverfahren ausgeschlossen."
"602","Bei einer Konferenz in Freiburg wurde ich diskriminiert, als einige Referenten mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"603","Bei der Bewerbung um eine Stelle in Göttingen wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"604","Bei einem Arztbesuch in Frankfurt wurde ich aufgrund meiner Religion diskriminiert. Das medizinische Personal machte abfällige Bemerkungen über meinen Glauben und verweigerte mir eine angemessene medizinische Behandlung."
"605","Bei der Teilnahme an einer kulturellen Veranstaltung in Erfurt wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"606","Beim Besuch einer Ausstellung in Magdeburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"607","Beim Einkaufen in Aachen wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"608","Bei der Bewerbung um ein Austauschprogramm in Potsdam wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"609","Bei einem Besuch in einem Café in Duisburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"610","Beim Besuch eines Kinos in Ulm wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Kino-Richtlinien, und baten mich, das Gelände zu verlassen."
"611","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"612","Bei der Teilnahme an einer politischen Versammlung in Hagen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"613","Bei der Bewerbung um ein Mentorenprogramm in Mönchengladbach wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"614","Bei einem Besuch einer Ausstellung in Ingolstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"615","Beim Besuch eines Zoos in Cottbus wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"616","Bei einer politischen Veranstaltung in Bonn wurde ich diskriminiert, als einige Teilnehmer mich aus der Debatte ausschlossen, weil ich Muslima bin. Trotz meiner Versuche, meine Meinungen zu äußern, wurde ich ignoriert und marginalisiert."
"617","Bei einem Zoobesuch in Braunschweig wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"618","Beim Einkaufen in Chemnitz wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"619","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"620","Bei einem Besuch einer Ausstellung in Ingolstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"621","Bei der Bewerbung um eine Wohnung in Dortmund wurde ich diskriminiert. Der Vermieter weigerte sich, mir die Wohnung zu vermieten, weil mein muslimischer Nachname angeblich gegen ihn sprach, trotz meiner guten Referenzen und meiner Zahlungshistorie."
"622","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"623","Beim Besuch einer Ausstellung in Berlin wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"624","Bei einem Besuch in einem Café in Siegen wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"625","Bei einer kulturellen Veranstaltung in Essen wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"626","Bei einem Zahnarztbesuch in Lübeck wurde ich Opfer von Diskriminierung, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
